"Date","マネーストック:M2/平/マネーストック:兆円:日本銀行"
"2003-04-01",676.7067
"2003-05-01",677.0869
"2003-06-01",677.755
"2003-07-01",681.3055
"2003-08-01",680.7344
"2003-09-01",676.8459
"2003-10-01",675.5731
"2003-11-01",675.7284
"2003-12-01",682.584
"2004-01-01",683.3119
"2004-02-01",679.7767
"2004-03-01",682.5916
"2004-04-01",689.1883
"2004-05-01",690.3843
"2004-06-01",689.4824
"2004-07-01",693.7875
"2004-08-01",693.3689
"2004-09-01",690.7282
"2004-10-01",689.0506
"2004-11-01",689.4786
"2004-12-01",696.0622
"2005-01-01",696.5712
"2005-02-01",692.0502
"2005-03-01",696.5119
"2005-04-01",701.5356
"2005-05-01",700.3169
"2005-06-01",700.6819
"2005-07-01",705.0604
"2005-08-01",704.3747
"2005-09-01",704.6184
"2005-10-01",702.1746
"2005-11-01",703.6014
"2005-12-01",708.9899
"2006-01-01",708.7795
"2006-02-01",703.7961
"2006-03-01",706.1195
"2006-04-01",712.911
"2006-05-01",709.3181
"2006-06-01",708.5888
"2006-07-01",708.5186
"2006-08-01",707.307
"2006-09-01",708.1933
"2006-10-01",705.9775
"2006-11-01",707.8251
"2006-12-01",713.7934
"2007-01-01",715.1423
"2007-02-01",710.8923
"2007-03-01",713.8415
"2007-04-01",721.0967
"2007-05-01",719.5192
"2007-06-01",721.6367
"2007-07-01",722.8811
"2007-08-01",719.8156
"2007-09-01",720.1921
"2007-10-01",719.3436
"2007-11-01",722.0662
"2007-12-01",728.5588
"2008-01-01",730.4457
"2008-02-01",727.6617
"2008-03-01",729.9474
"2008-04-01",734.5919
"2008-05-01",734.2982
"2008-06-01",737.8298
"2008-07-01",738.1435
"2008-08-01",737.1732
"2008-09-01",735.8569
"2008-10-01",732.5322
"2008-11-01",734.996
"2008-12-01",741.7325
"2009-01-01",744.7359
"2009-02-01",743.2345
"2009-03-01",746.2845
"2009-04-01",754.2195
"2009-05-01",753.9544
"2009-06-01",756.4651
"2009-07-01",758.1721
"2009-08-01",757.9114
"2009-09-01",757.7582
"2009-10-01",757.4488
"2009-11-01",759.2868
"2009-12-01",764.4352
"2010-01-01",766.8556
"2010-02-01",763.5656
"2010-03-01",766.2193
"2010-04-01",775.9675
"2010-05-01",777.3641
"2010-06-01",778.428
"2010-07-01",778.8079
"2010-08-01",778.9657
"2010-09-01",778.8638
"2010-10-01",778.4699
"2010-11-01",778.8978
"2010-12-01",782.2875
"2011-01-01",784.3991
"2011-02-01",781.829
"2011-03-01",786.0811
"2011-04-01",797.0763
"2011-05-01",798.3201
"2011-06-01",800.5162
"2011-07-01",801.7214
"2011-08-01",799.7234
"2011-09-01",800.0077
"2011-10-01",800.2828
"2011-11-01",802.4423
"2011-12-01",806.9214
"2012-01-01",808.2743
"2012-02-01",804.769
"2012-03-01",809.2707
"2012-04-01",817.8578
"2012-05-01",815.7056
"2012-06-01",818.5426
"2012-07-01",819.976
"2012-08-01",819.1274
"2012-09-01",819.2726
"2012-10-01",818.3764
"2012-11-01",819.3913
"2012-12-01",827.6923
"2013-01-01",829.9554
"2013-02-01",828.2805
"2013-03-01",833.8735
"2013-04-01",843.7335
"2013-05-01",844.0305
"2013-06-01",849.6379
"2013-07-01",850.5401
"2013-08-01",849.8909
"2013-09-01",850.7913
"2013-10-01",852.0882
"2013-11-01",855.0157
"2013-12-01",862.7674
"2014-01-01",865.8882
"2014-02-01",861.1077
"2014-03-01",863.4439
"2014-04-01",872.8308
"2014-05-01",871.6091
"2014-06-01",875.3539
"2014-07-01",875.7077
"2014-08-01",875.1629
"2014-09-01",876.7152
"2014-10-01",878.8034
"2014-11-01",885.4
"2014-12-01",893.1353
"2015-01-01",894.6578
"2015-02-01",890.8583
"2015-03-01",894.3131
"2015-04-01",904.0704
"2015-05-01",907.0027
"2015-06-01",909.0087
"2015-07-01",910.2447
"2015-08-01",911.2081
"2015-09-01",909.6904
"2015-10-01",910.5777
"2015-11-01",914.5928
"2015-12-01",920.6476
"2016-01-01",922.6554
"2016-02-01",918.3408
"2016-03-01",921.4352
"2016-04-01",933.7483
"2016-05-01",936.834
"2016-06-01",939.4599
"2016-07-01",940.4959
"2016-08-01",939.9942
"2016-09-01",940.743
"2016-10-01",942.9381
"2016-11-01",949.4509
"2016-12-01",956.3427
"2017-01-01",959.0487
"2017-02-01",956.1292
"2017-03-01",959.7629
"2017-04-01",970.2896
"2017-05-01",972.3663
"2017-06-01",976.3583
"2017-07-01",978.1486
"2017-08-01",977.6216
"2017-09-01",978.8225
"2017-10-01",981.3059
"2017-11-01",987.4847
"2017-12-01",990.5721
"2018-01-01",991.7009
"2018-02-01",986.5773
"2018-03-01",989.0903
"2018-04-01",1001.0867
"2018-05-01",1003.1511
"2018-06-01",1006.6296
"2018-07-01",1006.7983
"2018-08-01",1005.6518
"2018-09-01",1006.5823
"2018-10-01",1007.4312
"2018-11-01",1010.4965
"2018-12-01",1014.2344
"2019-01-01",1014.7889
"2019-02-01",1009.7613
"2019-03-01",1012.498
"2019-04-01",1026.2171
"2019-05-01",1029.6356
"2019-06-01",1029.9615
"2019-07-01",1030.0978
"2019-08-01",1029.5252
"2019-09-01",1030.6502
"2019-10-01",1031.507
"2019-11-01",1037.6415
"2019-12-01",1041.6198
"2020-01-01",1042.8461
"2020-02-01",1039.6299
"2020-03-01",1045.3965
"2020-04-01",1064.038
"2020-05-01",1082.2246
"2020-06-01",1104.5517
" Source:日本銀行",
"マネーストック",
