"Date","国際収支:サービス収支:サービス収支:旅行:億円:財務省"
"1996-01-01",-2889
"1996-02-01",-2971
"1996-03-01",-2826
"1996-04-01",-2540
"1996-05-01",-2799
"1996-06-01",-2805
"1996-07-01",-3216
"1996-08-01",-3314
"1996-09-01",-3274
"1996-10-01",-3206
"1996-11-01",-2941
"1996-12-01",-3099
"1997-01-01",-3066
"1997-02-01",-2793
"1997-03-01",-2979
"1997-04-01",-2579
"1997-05-01",-2869
"1997-06-01",-2792
"1997-07-01",-3127
"1997-08-01",-3135
"1997-09-01",-3162
"1997-10-01",-2968
"1997-11-01",-2476
"1997-12-01",-2706
"1998-01-01",-2634
"1998-02-01",-2464
"1998-03-01",-2559
"1998-04-01",-2496
"1998-05-01",-2390
"1998-06-01",-2771
"1998-07-01",-2921
"1998-08-01",-2955
"1998-09-01",-3262
"1998-10-01",-3180
"1998-11-01",-2476
"1998-12-01",-2630
"1999-01-01",-2647
"1999-02-01",-2384
"1999-03-01",-2809
"1999-04-01",-2413
"1999-05-01",-2418
"1999-06-01",-2688
"1999-07-01",-3041
"1999-08-01",-3371
"1999-09-01",-3448
"1999-10-01",-2734
"1999-11-01",-2651
"1999-12-01",-2685
"2000-01-01",-2225
"2000-02-01",-2415
"2000-03-01",-2725
"2000-04-01",-2184
"2000-05-01",-2429
"2000-06-01",-2516
"2000-07-01",-2635
"2000-08-01",-2987
"2000-09-01",-2834
"2000-10-01",-2647
"2000-11-01",-2658
"2000-12-01",-2476
"2001-01-01",-2496
"2001-02-01",-2521
"2001-03-01",-2557
"2001-04-01",-2274
"2001-05-01",-2554
"2001-06-01",-2488
"2001-07-01",-2820
"2001-08-01",-3151
"2001-09-01",-2478
"2001-10-01",-1747
"2001-11-01",-1498
"2001-12-01",-1584
"2002-01-01",-2033
"2002-02-01",-1993
"2002-03-01",-2296
"2002-04-01",-2085
"2002-05-01",-2420
"2002-06-01",-2239
"2002-07-01",-2680
"2002-08-01",-2763
"2002-09-01",-2780
"2002-10-01",-2636
"2002-11-01",-2457
"2002-12-01",-2498
"2003-01-01",-2325
"2003-02-01",-2127
"2003-03-01",-2030
"2003-04-01",-1160
"2003-05-01",-1217
"2003-06-01",-1193
"2003-07-01",-1577
"2003-08-01",-2081
"2003-09-01",-2594
"2003-10-01",-2340
"2003-11-01",-2147
"2003-12-01",-2399
"2004-01-01",-2172
"2004-02-01",-2127
"2004-03-01",-2286
"2004-04-01",-1950
"2004-05-01",-2150
"2004-06-01",-2403
"2004-07-01",-2421
"2004-08-01",-2822
"2004-09-01",-2997
"2004-10-01",-2618
"2004-11-01",-2652
"2004-12-01",-2592
"2005-01-01",-2539
"2005-02-01",-2124
"2005-03-01",-2468
"2005-04-01",-1839
"2005-05-01",-2079
"2005-06-01",-2224
"2005-07-01",-2079
"2005-08-01",-2743
"2005-09-01",-2782
"2005-10-01",-2311
"2005-11-01",-2277
"2005-12-01",-2192
"2006-01-01",-1565
"2006-02-01",-1765
"2006-03-01",-1957
"2006-04-01",-1448
"2006-05-01",-1684
"2006-06-01",-1810
"2006-07-01",-1663
"2006-08-01",-2135
"2006-09-01",-2016
"2006-10-01",-1769
"2006-11-01",-1889
"2006-12-01",-1707
"2007-01-01",-1744
"2007-02-01",-1646
"2007-03-01",-1903
"2007-04-01",-1429
"2007-05-01",-1512
"2007-06-01",-1665
"2007-07-01",-1508
"2007-08-01",-2011
"2007-09-01",-1867
"2007-10-01",-1630
"2007-11-01",-1691
"2007-12-01",-1593
"2008-01-01",-1516
"2008-02-01",-1559
"2008-03-01",-1638
"2008-04-01",-1135
"2008-05-01",-1345
"2008-06-01",-1408
"2008-07-01",-1329
"2008-08-01",-1692
"2008-09-01",-1607
"2008-10-01",-1406
"2008-11-01",-1470
"2008-12-01",-1528
"2009-01-01",-932
"2009-02-01",-1423
"2009-03-01",-1333
"2009-04-01",-965
"2009-05-01",-938
"2009-06-01",-942
"2009-07-01",-1074
"2009-08-01",-1357
"2009-09-01",-1603
"2009-10-01",-1157
"2009-11-01",-1111
"2009-12-01",-1050
"2010-01-01",-1032
"2010-02-01",-1020
"2010-03-01",-1347
"2010-04-01",-715
"2010-05-01",-918
"2010-06-01",-1031
"2010-07-01",-923
"2010-08-01",-1360
"2010-09-01",-1349
"2010-10-01",-1075
"2010-11-01",-1112
"2010-12-01",-993
"2011-01-01",-883
"2011-02-01",-1043
"2011-03-01",-1463
"2011-04-01",-969
"2011-05-01",-959
"2011-06-01",-1006
"2011-07-01",-1043
"2011-08-01",-1413
"2011-09-01",-1279
"2011-10-01",-971
"2011-11-01",-992
"2011-12-01",-943
"2012-01-01",-666
"2012-02-01",-1113
"2012-03-01",-1137
"2012-04-01",-538
"2012-05-01",-735
"2012-06-01",-798
"2012-07-01",-765
"2012-08-01",-1267
"2012-09-01",-1078
"2012-10-01",-871
"2012-11-01",-850
"2012-12-01",-801
"2013-01-01",-762
"2013-02-01",-752
"2013-03-01",-853
"2013-04-01",-224
"2013-05-01",-336
"2013-06-01",-334
"2013-07-01",-378
"2013-08-01",-913
"2013-09-01",-658
"2013-10-01",-439
"2013-11-01",-426
"2013-12-01",-470
"2014-01-01",-236
"2014-02-01",-445
"2014-03-01",-446
"2014-04-01",413
"2014-05-01",76
"2014-06-01",-20
"2014-07-01",138
"2014-08-01",-482
"2014-09-01",-254
"2014-10-01",272
"2014-11-01",242
"2014-12-01",299
"2015-01-01",440
"2015-02-01",790
"2015-03-01",633
"2015-04-01",1343
"2015-05-01",1043
"2015-06-01",1056
"2015-07-01",1321
"2015-08-01",751
"2015-09-01",560
"2015-10-01",1000
"2015-11-01",900
"2015-12-01",1065
"2016-01-01",1249
"2016-02-01",1274
"2016-03-01",1153
"2016-04-01",1359
"2016-05-01",1068
"2016-06-01",1174
"2016-07-01",1570
"2016-08-01",752
"2016-09-01",820
"2016-10-01",1026
"2016-11-01",774
"2016-12-01",1049
"2017-01-01",1610
"2017-02-01",980
"2017-03-01",915
"2017-04-01",1983
"2017-05-01",1519
"2017-06-01",1433
"2017-07-01",1931
"2017-08-01",1175
"2017-09-01",1194
"2017-10-01",1783
"2017-11-01",1497
"2017-12-01",1777
"2018-01-01",1944
"2018-02-01",2134
"2018-03-01",1814
"2018-04-01",2565
"2018-05-01",2189
"2018-06-01",2203
"2018-07-01",2313
"2018-08-01",1376
"2018-09-01",1212
"2018-10-01",2235
"2018-11-01",1941
"2018-12-01",2234
"2019-01-01",2179
"2019-02-01",1997
"2019-03-01",1822
"2019-04-01",2740
"2019-05-01",2701
"2019-06-01",2698
"2019-07-01",2634
"2019-08-01",1585
"2019-09-01",1635
"2019-10-01",2426
"2019-11-01",2280
"2019-12-01",2327
"2020-01-01",2669
"2020-02-01",579
"2020-03-01",245
"2020-04-01",225
" Source:財務省",
"国際収支",
