"平成27年(2015年)産業連関表 取引基本表(生産者価格評価)(統合中分類)(単位:100万円)(総務省)","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","民間消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出計","最終需要計","需要合計","(控除)輸入","(控除)関税","(控除)輸入品商品税","(控除)輸入計","最終需要部門計","国内生産額"
"教育",0,0,397,111,2,4,251,9535,353,350,0,6,72,200,486,772,412,89,33,429,489,1485,1034,139,2088,3007,109,6,1545,159,0,214,836,982,388,134,739,781,0,0,148,2919,1654,6562,6584,2189,4272,10917,8029,5475,1654,2373,7626,521,1837,838,5823,1586,306,362,30,6300,291,1578,1321,11853,1791,480,710,19991,7814,81,10,0,52417,4560,3193,377,187,535,652,3675,350,92299,4084,75019,24516,9265,5121,38,10,5069,0,945,206,0,4057,7532,20,27021,1151,11705,5274,2126,3435,0,737,497138,0,8880882,12676057,3203414,0,0,0,24760353,25257491,34062,34062,24794415,25291553,-271364,0,0,-271364,24523051,25020189
"研究",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305497,88903,1545594,2824952,14978399,0,19743345,19743345,693360,693360,20436705,20436705,-1776380,0,0,-1776380,18660325,18660325
"医療",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328687,0,0,5778,0,0,0,0,0,0,0,0,0,0,0,0,334465,200366,8644719,36606037,0,0,0,0,45451122,45785587,241,241,45451363,45785828,-3569,0,0,-3569,45447794,45782259
"保健衛生",0,0,4941,0,0,0,0,0,0,0,0,0,0,0,0,18,19,113,0,0,0,13,0,0,444,0,0,0,13,1,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,22,16,646,26,1336,0,2479,5695,282,258,0,727,73,0,1289,0,0,50601,10247,84,21494,2140,825,1481,2222,1097,646,412,579952,109768,31527,14003,59,0,224,0,2814,20,2740,18,930,625,0,11449,863879,424426,211150,464312,3220,0,0,0,1103108,1966987,0,0,1103108,1966987,0,0,0,0,1103108,1966987
"社会保険･社会福祉",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176166,5910134,3793304,29683,0,0,0,9909287,9909287,0,0,9909287,9909287,0,0,0,0,9909287,9909287
"介護",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922562,9005710,0,0,0,0,9928272,9928272,0,0,9928272,9928272,0,0,0,0,9928272,9928272
"他に分類されない会員制団体",96,0,1138,99,12730,900,1579,17926,9533,3251,4552,555,1864,2117,3999,3219,2802,3217,389,12231,1730,3189,1832,161,22812,6513,1880,746,5159,2931,46,698,4203,425,647,8062,7018,1787,1652,1087,2123,3304,6372,22667,29652,9978,4978,4587,5442,315,1563,2593,2715,1597,3557,1227,2479,1692,2964,2982,1688,19570,24806,12750,9586,20824,15778,41493,9458,54565,104541,12979,13306,0,7652,28170,0,6659,278,930,9141,14985,93,16837,11682,17880,3341,15082,112,8765,80267,61286,1494,213,3705,0,20791,15927,19263,94056,7560,42109,7427,76340,18809,0,22612,1222372,0,3303189,0,0,0,0,0,3303189,4525561,34576,34576,3337765,4560137,-128344,0,0,-128344,3209421,4431793
"物品賃貸サービス",12335,20203,7039,1886,1736,9006,4515,71996,21936,1653,1613,4360,6057,15124,9230,6386,9147,44032,578,10794,3309,7435,2994,1233,9463,16730,1307,9551,42415,17016,594,3758,12449,1387,13594,12076,17463,8764,8498,3333,14329,9551,31987,62522,149143,20017,61518,39666,95869,11772,7642,28365,16945,2838,46291,12087,79010,29157,69858,19263,50072,549723,113030,451346,474119,81377,30683,11134,26770,839707,319154,23704,24715,0,18382,157797,1214970,16545,269649,12388,11486,74121,424,184121,72260,182280,177142,57846,566406,48967,79248,283448,26921,90366,192212,26214,27647,11121,94041,466720,43146,43646,17755,48320,27887,0,21684,8821519,29941,478379,0,0,0,0,0,508320,9329839,865920,865920,1374240,10195759,-112071,0,0,-112071,1262169,10083688
"広告",2016,0,3177,1450,1344,318,1654,250499,188381,226,48699,1217,12215,3052,10795,11771,11790,5441,1146,8041,532,6075,2050,1547,348962,288458,2585,264,52152,18809,770,2210,1229,4560,3004,4139,8886,1179,1655,2243,5082,6963,9858,40087,48849,33123,42141,19074,31315,31522,9699,12856,18575,8524,116778,34534,112944,4372,12032,35131,114,85607,5087,10679,7591,52388,40091,35462,5191,955093,1058793,206103,182320,0,34126,58623,0,8574,33195,3752,1089,91758,1327,343344,98118,317016,105776,267159,53490,97853,46892,63440,15545,7770,14478,21913,79935,5563,27398,697789,14667,298275,75032,116440,72007,0,23681,7688544,0,4194,0,0,0,0,0,4194,7692738,402400,402400,406594,8095138,-881900,0,0,-881900,-475306,7213238
"自動車整備･機械修理",108946,20180,14590,14764,3513,2799,6825,121107,26403,3309,3489,10279,8970,24390,4206,20792,9880,15671,4316,30951,13041,90177,12673,3113,43820,26095,28685,9577,79427,37786,829,8277,29775,6797,24195,50648,55281,15753,3343,17036,35973,31321,47959,71736,83204,44676,58837,62206,39324,12070,12183,10710,12600,6803,37866,13033,119444,4398,10195,7761,2040,91633,97661,92692,55398,577561,12785,111111,91932,51420,90012,32885,19666,0,15230,573805,1902551,5455,24436,12115,15079,61683,881,52466,36735,281919,15633,21443,479508,60556,257618,84957,19899,44754,18463,34754,1114234,12034,72884,170872,9753,116286,35714,50687,11227,0,14844,8689278,5165,2883933,0,0,0,0,0,2889098,11578376,3555,3555,2892653,11581931,-285,0,0,-285,2892368,11581646
"その他の対事業所サービス",3739,3226,16834,278,12024,6435,10271,449425,83452,8371,22514,12193,62800,17646,42651,29909,37654,140080,3497,37420,7358,55772,20185,4882,140720,132804,23833,5512,227585,53325,6072,45236,107096,8940,60840,31933,33221,28423,16404,10201,48207,54691,146747,237502,283452,132742,164974,160154,178192,39482,44856,57879,78947,50595,163445,68425,449406,27032,107644,42587,18986,1772582,214896,1376769,241252,676326,93482,452231,179309,6247110,2623782,1128313,526188,76668,185133,219687,5824,40952,45354,34360,232512,910597,11354,1498537,384630,3312732,483413,301188,2533575,776401,1712085,1519611,85249,457319,242994,260544,642720,407991,409022,6076815,61504,417322,137263,255712,134017,0,127166,44109197,45413,702499,0,0,175812,1813253,0,2736977,46846174,1852898,1852898,4589875,48699072,-2789039,0,0,-2789039,1800836,45910033
"宿泊業",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1834104,3045103,0,0,0,0,0,4879207,4879207,794267,794267,5673474,5673474,-597564,0,0,-597564,5075910,5075910
"飲食サービス",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67636,0,75436,0,15661,51745,0,0,0,0,0,74600,195174,0,0,0,0,0,480252,7493449,19503759,0,0,0,0,0,26997208,27477460,523879,523879,27521087,28001339,-447086,0,0,-447086,27074001,27554253
"洗濯･理容･美容･浴場業",6,0,230,1,53,10,24,2013,695,63,113,93,158,90,61,226,161,222,10,208,3,63,23,24,567,47,65,22,423,119,14,4,10,0,18,200,247,22,79,78,67,140,283,400,267,116,630,596,93,127,60,125,96,171,533,31,1205,191,234,176,3,304,202,959,302,1012,34,184,242,5966,2191,604,312,0,22010,2188,92,394,738,37,55,461,435,7094,3105,731,1673,1772,4404,3060,1683,455894,9287,105436,94811,295,581,5831,216,2894,55323,78989,109045,2159,3016,0,3718,1001748,22510,4242574,0,0,0,0,0,4265084,5266832,464,464,4265548,5267296,-2746,0,0,-2746,4262802,5264550
"娯楽サービス",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3154,0,0,0,0,0,0,0,0,0,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,2074,190692,0,777,242730,0,2622,201,0,0,0,0,0,0,19274,0,0,13220,6346,0,182657,12625,0,2144,680031,777993,8274662,0,0,0,0,0,9052655,9732686,118152,118152,9170807,9850838,-211675,0,0,-211675,8959132,9639163
"その他の対個人サービス",48,0,913,83,1498,16,106,2684,618,131,97,84,247,92,169,159,169,453,31,107,63,315,137,59,724,473,141,58,495,205,22,105,147,75,103,391,489,98,150,191,469,259,419,841,1978,633,519,537,811,331,130,352,285,146,783,359,1506,305,279,217,75,5495,1335,4020,2978,670,262,1069,0,72960,4848,17837,7316,15661,1257,5199,0,864,387,86,417,2267,288,4827,5293,31354,722,28401,14958,8559,45453,14781,399,1753,2788,11172,9565,19069,5172,44765,13017,10532,10601,28413,69497,0,1950,551637,73998,6616491,0,0,0,0,0,6690489,7242126,46200,46200,6736689,7288326,-15456,0,-657,-16113,6720576,7272213
"事務用品",1309,2670,2442,1452,1788,86,598,21927,2305,36,6,1310,2778,1931,2289,2503,2462,4933,338,2064,309,1111,1023,254,3863,4914,224,173,1351,1052,484,2219,2077,886,2105,1047,1137,528,1536,603,2503,1626,3191,8759,16079,5459,5564,5425,7724,2108,1061,3048,3118,1624,2042,605,9230,1824,4798,5648,240,18705,284,30861,3790,642,465,4169,15937,195970,128397,18999,7227,0,11948,27148,7829,11029,4658,5451,3920,22612,5385,43164,10621,12782,6795,17453,113716,41464,123336,56978,4516,40942,55144,22294,8919,7760,14081,83928,11277,23884,21067,23179,19919,0,959,1463403,0,0,0,0,0,0,0,0,1463403,0,0,0,1463403,0,0,0,0,0,1463403
"分類不明",33518,570,590,2632,13299,1978,8406,142332,27714,28398,30910,2631,6927,17400,3234,7490,7649,9865,97,3675,305,1724,2576,3051,14931,13029,3649,2251,14955,15689,1343,8151,23716,833,16190,31884,24336,23699,15180,12004,31407,9537,34551,75832,96323,17260,5842,3693,19438,2607,1748,14087,4645,2669,5942,4009,10883,39984,29735,6542,1896,497138,213926,62514,75134,62106,7813,40855,103640,649760,165379,122995,12825,4173,51909,212849,0,80202,21539,837,6233,79284,1774,47171,49901,15854,5162,14142,37193,282156,141352,82599,26909,116004,38418,20365,58851,1732,27247,140231,9152,44639,38381,11021,48762,730,0,4728298,0,10043,0,0,0,0,0,10043,4738341,5295,5295,15338,4743636,-50648,0,0,-50648,-35310,4692988
"内生部門計",2725057,2698509,335997,268036,717925,72827,334050,19151774,3401004,1231233,307318,853961,1287743,1399051,1112699,3176280,2002299,2305650,265943,1255344,2760338,4267265,1861359,323009,3327980,4571370,10551430,1215319,6953225,1688476,205533,645255,1388365,350625,863295,6619286,10834115,1046729,1625125,2546677,4095898,2555409,3915264,5838169,8984331,4038619,4045022,4389194,5054130,1918984,1335726,1928673,2228959,1300686,13258572,3655314,20530201,1769837,2736690,2131126,670218,15877275,6217125,6242161,3994956,12903473,2914044,2277193,1658125,28751025,11506174,4186528,3641159,5007919,2358429,4052072,9563244,4176837,2448752,296297,743135,2718722,310856,7545148,2742033,7457400,2658145,3768004,11591974,4489511,7231704,19734681,698808,2965586,2264062,1770985,3294495,5116900,7179727,12425836,2613810,16457981,1673909,2854105,2046846,1463403,2760622,469579674,15055500,305616414,87194020,18335311,28141456,108791468,503254,563637423,1033217097,86769418,86769418,650406841,1119986515,-93036242,-1042351,-8089534,-102168127,548238714,1017818388
"家計外消費支出(行)",14131,4362,10727,6799,45602,6025,31165,263813,68683,5433,4645,16794,27743,20279,28974,79460,74476,100242,15818,26114,3944,76132,16704,9120,115038,105507,45772,10750,199354,46838,7168,20375,39779,9799,35522,170428,42750,11795,6207,38030,57346,77625,105232,169623,265910,129403,106702,104913,123193,27893,56845,45137,40134,61789,127020,35825,198326,51253,45924,71443,8859,719800,166353,253113,105734,194617,49919,64313,120444,2284242,1073243,169569,143732,0,123127,285017,0,128313,32798,31258,32660,222954,43888,133367,73911,413245,6757,303139,434274,144506,283022,334970,34330,211202,166901,164900,68413,162568,136038,779529,114642,422099,234219,225583,170539,0,19560,15055500,,,,,,,,,,,,,,,,,,,
"雇用者所得",467720,196522,342579,201381,285729,22263,151770,4204237,660336,82995,73592,337344,572733,394768,464512,370910,752428,1332751,30765,233897,58202,421058,190377,65317,608775,888953,142437,53046,2420434,730101,83623,282597,537444,196328,399567,275811,796556,328341,239798,155013,733556,969786,2398634,2396366,3986639,1394260,870610,1886011,1746349,396495,454977,511311,745565,298758,1036459,425635,4308488,452777,892055,893617,235074,9822294,3736204,4160754,3542290,1562081,376493,652458,2354221,37218350,11062022,2468021,2203784,0,1758433,8865814,0,701819,339942,300524,467093,2202059,949046,1019266,640041,6652313,580582,1608042,14323697,14818888,7374843,20525398,1054356,6292407,6308203,2201284,1261590,1005161,3224873,20252461,1244836,7754371,1400887,2240947,2125205,0,59433,265799218,,,,,,,,,,,,,,,,,,,
"営業余剰",1949183,240582,120395,258617,241987,26989,50170,2261847,946511,129760,276709,-111250,-5352,328153,105534,230609,310294,479043,28291,196969,12317,5977,78444,26648,960496,482750,641989,49744,-73566,118796,24131,81632,307626,11461,236475,1048142,1816871,264539,290493,595068,31822,193377,184753,928139,1592368,228819,1514,-655656,-287120,-16262,-86428,112854,-148901,-178465,518312,-1027,82211,85453,105124,74763,-4806,935407,392743,205454,173086,518310,185681,598643,281118,14811175,8985785,2759687,3700270,25313558,366262,843471,0,214017,7079,58721,109134,1600881,7923,3962596,788555,1766193,80094,628772,0,77921,707176,1936296,64769,124365,314633,-30808,1067594,159328,361856,5314712,280049,702554,975251,2106925,1077349,0,1564821,103905324,,,,,,,,,,,,,,,,,,,
"資本減耗引当",1198419,418897,79852,74973,225036,32535,60745,1391671,447237,36717,109712,249960,191892,182646,83244,324754,215153,568945,37793,256491,165494,740921,329851,56666,1852048,702787,352629,111487,908795,503022,14153,180109,282311,85632,159610,924069,422209,89783,53375,120310,367435,309637,688066,1041665,1743589,1020380,1591812,1059987,1349447,510153,394281,403001,621896,412847,1382258,465784,2602326,269217,426022,420596,20690,809789,281190,914649,331360,4426810,681450,880817,258529,8486201,2600383,4473595,3878893,18808479,2473705,1356399,0,658786,415194,158831,450579,735134,87121,3081084,304040,1621674,112712,405623,0,2052058,1276784,3246725,67730,234972,752967,273098,4255040,590583,399996,4144131,681677,1321098,706696,1327986,1138074,0,230144,112735808,,,,,,,,,,,,,,,,,,,
"資本減耗引当(社会資本等減耗分)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94876,135936,0,0,0,0,0,0,0,0,0,0,0,0,7368,0,0,0,0,0,0,13315220,3203414,1545594,0,3220,29683,0,0,0,0,0,0,0,0,0,0,0,0,0,18335311,,,,,,,,,,,,,,,,,,,
"間接税(関税･輸入品商品税を除く。)",317733,62701,27869,22467,82746,28549,31088,524958,1480114,24242,1389615,63432,101043,82035,48210,65249,101701,185852,10388,33540,41292,112891,34948,12960,191119,137595,3711095,11656,418567,84008,8749,28077,111252,15243,42277,264951,48246,79113,44066,26791,38718,121082,218170,84648,132175,91857,57948,78107,34363,13005,10087,25685,49983,23242,-334256,-20862,47602,60385,165118,26798,65202,1111847,390758,503592,240632,737928,90816,202815,93628,3974876,746737,1241699,542287,2202743,356390,1358901,0,84480,-260715,95589,247953,540567,31652,612179,175879,589804,112442,132173,73870,236947,380986,732221,43776,51131,158900,152621,136592,178747,279229,2996865,140953,896255,273652,883670,714269,0,82141,35667962,,,,,,,,,,,,,,,,,,,
"(控除)経常補助金",-675201,-46086,-58,-32119,-1447,-254,-7,-131141,-556,-1806,-4,-23,-20,-47,-15,-12,-15,-40,-1,-6,-2,-9,-7,-2,-22,-24,-62740,-2,-43,-20,-25,-8,-16,-6,-8,-16,-44,-11,-5,-7,-22,-27,-59,-52,-89,-38,-31,-49,-35,-9,-11,-14,-23,-10,-25,-20,-95,-24,-166,-37,-5,-371,-411,-33509,-257706,-553,-7360,-225525,-21,-46988,-526120,-234,-22746,0,-56387,-44399,0,-16992,-13,-10,-27,-31265,0,-97,-20,-307,-2,-276,0,-3056,-139784,-728032,-2,-59,-37394,-100287,-36,-49,-73,-3501,-57,-105,-64,-53,-69,0,-23733,-3260409,,,,,,,,,,,,,,,,,,,
"粗付加価値部門計",3271985,876978,581364,532118,879653,116107,324931,8515385,3602325,277341,1854269,556257,888039,1007834,730459,1070970,1454037,2666793,123054,747005,281247,1356970,650317,170709,3727454,2317568,4831182,236681,3873541,1482745,137799,592782,1278396,318457,873443,2683385,3126588,773560,633934,935205,1228855,1671480,3594796,4620389,7720592,2864681,2628555,2473313,2966197,931275,829751,1097974,1308654,618161,2729768,905335,7238858,919061,1634077,1487180,325014,13398766,4966837,6004053,4135396,7439193,1376999,2268397,3243855,66727856,23942050,11112337,10446220,46324780,5021530,12665203,0,1770423,534285,644913,1307392,5277698,1119630,8808395,1982406,11042922,892585,3077473,28147061,20530678,11428621,26047578,1268179,6943701,7664210,2660808,6789193,2096338,4401919,33484197,2462100,11096272,3590641,6785058,5225367,0,1932366,548238714,,,,,,,,,,,,,,,,,,,
"国内生産額",5997042,3575487,917361,800154,1597578,188934,658981,27667159,7003329,1508574,2161587,1410218,2175782,2406885,1843158,4247250,3456336,4972443,388997,2002349,3041585,5624235,2511676,493718,7055434,6888938,15382612,1452000,10826766,3171221,343332,1238037,2666761,669082,1736738,9302671,13960703,1820289,2259059,3481882,5324753,4226889,7510060,10458558,16704923,6903300,6673577,6862507,8020327,2850259,2165477,3026647,3537613,1918847,15988340,4560649,27769059,2688898,4370767,3618306,995232,29276041,11183962,12246214,8130352,20342666,4291043,4545590,4901980,95478881,35448224,15298865,14087379,51332699,7379959,16717275,9563244,5947260,2983037,941210,2050527,7996420,1430486,16353543,4724439,18500322,3550730,6845477,39739035,25020189,18660325,45782259,1966987,9909287,9928272,4431793,10083688,7213238,11581646,45910033,5075910,27554253,5264550,9639163,7272213,1463403,4692988,1017818388,,,,,,,,,,,,,,,,,,,
