"Date","二人以上の世帯_支出金額[円]:消費支出"
"2000-01-01",309621
"2000-02-01",290663
"2000-03-01",335341
"2000-04-01",335276
"2000-05-01",308566
"2000-06-01",297648
"2000-07-01",326480
"2000-08-01",309993
"2000-09-01",296457
"2000-10-01",309193
"2000-11-01",297144
"2000-12-01",391556
"2001-01-01",308912
"2001-02-01",293698
"2001-03-01",339910
"2001-04-01",318509
"2001-05-01",300346
"2001-06-01",286054
"2001-07-01",314251
"2001-08-01",302474
"2001-09-01",283973
"2001-10-01",305653
"2001-11-01",294929
"2001-12-01",359940
"2002-01-01",305221
"2002-02-01",273487
"2002-03-01",330380
"2002-04-01",320228
"2002-05-01",291968
"2002-06-01",289427
"2002-07-01",315699
"2002-08-01",298788
"2002-09-01",295423
"2002-10-01",304989
"2002-11-01",289126
"2002-12-01",356702
"2003-01-01",298734
"2003-02-01",270619
"2003-03-01",321847
"2003-04-01",315074
"2003-05-01",287172
"2003-06-01",291742
"2003-07-01",302444
"2003-08-01",302283
"2003-09-01",287699
"2003-10-01",299754
"2003-11-01",289498
"2003-12-01",355228
"2004-01-01",301275
"2004-02-01",284916
"2004-03-01",322091
"2004-04-01",325593
"2004-05-01",299964
"2004-06-01",283000
"2004-07-01",302616
"2004-08-01",301059
"2004-09-01",284946
"2004-10-01",296794
"2004-11-01",287806
"2004-12-01",345643
"2005-01-01",302145
"2005-02-01",272407
"2005-03-01",319333
"2005-04-01",317844
"2005-05-01",295783
"2005-06-01",284002
"2005-07-01",294764
"2005-08-01",302201
"2005-09-01",288147
"2005-10-01",300146
"2005-11-01",283603
"2005-12-01",346003
"2006-01-01",294617
"2006-02-01",269418
"2006-03-01",313350
"2006-04-01",312872
"2006-05-01",292114
"2006-06-01",280824
"2006-07-01",292328
"2006-08-01",292087
"2006-09-01",273194
"2006-10-01",294693
"2006-11-01",282860
"2006-12-01",340959
"2007-01-01",296472
"2007-02-01",272763
"2007-03-01",313563
"2007-04-01",316163
"2007-05-01",293231
"2007-06-01",280587
"2007-07-01",291632
"2007-08-01",296035
"2007-09-01",281448
"2007-10-01",296984
"2007-11-01",282836
"2007-12-01",351667
"2008-01-01",309826
"2008-02-01",275827
"2008-03-01",312565
"2008-04-01",310695
"2008-05-01",288128
"2008-06-01",281951
"2008-07-01",298366
"2008-08-01",291154
"2008-09-01",281433
"2008-10-01",291504
"2008-11-01",284762
"2008-12-01",336976
"2009-01-01",291440
"2009-02-01",266044
"2009-03-01",310680
"2009-04-01",306340
"2009-05-01",285530
"2009-06-01",277237
"2009-07-01",285078
"2009-08-01",290972
"2009-09-01",277110
"2009-10-01",287789
"2009-11-01",284740
"2009-12-01",337887
"2010-01-01",291918
"2010-02-01",261163
"2010-03-01",319991
"2010-04-01",299996
"2010-05-01",280714
"2010-06-01",276494
"2010-07-01",285274
"2010-08-01",293361
"2010-09-01",275367
"2010-10-01",287433
"2010-11-01",284212
"2010-12-01",327006
"2011-01-01",289191
"2011-02-01",260793
"2011-03-01",291900
"2011-04-01",292559
"2011-05-01",276159
"2011-06-01",265807
"2011-07-01",280046
"2011-08-01",282008
"2011-09-01",270010
"2011-10-01",285605
"2011-11-01",273428
"2011-12-01",328080
"2012-01-01",283124
"2012-02-01",267855
"2012-03-01",303841
"2012-04-01",301948
"2012-05-01",287911
"2012-06-01",269810
"2012-07-01",283295
"2012-08-01",286036
"2012-09-01",266705
"2012-10-01",284238
"2012-11-01",273772
"2012-12-01",325492
"2013-01-01",288934
"2013-02-01",268099
"2013-03-01",316166
"2013-04-01",304382
"2013-05-01",282366
"2013-06-01",269418
"2013-07-01",286098
"2013-08-01",284646
"2013-09-01",280692
"2013-10-01",290676
"2013-11-01",279546
"2013-12-01",334433
"2014-01-01",297070
"2014-02-01",266610
"2014-03-01",345443
"2014-04-01",302141
"2014-05-01",271411
"2014-06-01",272791
"2014-07-01",280293
"2014-08-01",282124
"2014-09-01",275226
"2014-10-01",288579
"2014-11-01",280271
"2014-12-01",332363
"2015-01-01",289847
"2015-02-01",265632
"2015-03-01",317579
"2015-04-01",300480
"2015-05-01",286433
"2015-06-01",268652
"2015-07-01",280471
"2015-08-01",291156
"2015-09-01",274309
"2015-10-01",282401
"2015-11-01",273268
"2015-12-01",318254
"2016-01-01",280973
"2016-02-01",269774
"2016-03-01",300889
"2016-04-01",298520
"2016-05-01",281827
"2016-06-01",261452
"2016-07-01",278067
"2016-08-01",276338
"2016-09-01",267119
"2016-10-01",281961
"2016-11-01",270848
"2016-12-01",318488
"2017-01-01",279249
"2017-02-01",260644
"2017-03-01",297942
"2017-04-01",295929
"2017-05-01",283056
"2017-06-01",268802
"2017-07-01",279197
"2017-08-01",280320
"2017-09-01",268802
"2017-10-01",282872
"2017-11-01",277361
"2017-12-01",322157
"2018-01-01",289703
"2018-02-01",265614
"2018-03-01",301230
"2018-04-01",294439
"2018-05-01",281307
"2018-06-01",267641
"2018-07-01",283387
"2018-08-01",292481
"2018-09-01",271273
"2018-10-01",290396
"2018-11-01",281041
"2018-12-01",329271
"2019-01-01",296345
"2019-02-01",271232
"2019-03-01",309274
"2019-04-01",301136
"2019-05-01",300901
"2019-06-01",276882
"2019-07-01",288026
"2019-08-01",296327
"2019-09-01",300609
"2019-10-01",279671
"2019-11-01",278765
"2019-12-01",321380
"2020-01-01",287173
"2020-02-01",271735
"2020-03-01",292214
"2020-04-01",267922
"2020-05-01",252017
" Source:総務省",
"全世帯家計調査消費支出",
